Name,Cost,M,WS,BS,S,T,W,A,Ld,Sv,Abilities,IncludesWargear
Tactical Marine, 12, 6, 3, 3, 4, 4, 1, 1, 7, 3, And They Shall Know No Fear | Transhuman Physiology,0
Tactical Marine Gunner, 13, 6, 3, 3, 4, 4, 1, 1, 7, 3, And They Shall Know No Fear | Transhuman Physiology,0
Tactical Marine Sergeant, 13, 6, 3, 3, 4, 4, 1, 2, 8, 3, And They Shall Know No Fear | Transhuman Physiology,0
Intercessor, 15, 6, 3, 3, 4, 4, 2, 2, 7, 3, And They Shall Know No Fear | Transhuman Physiology,0
Intercessor Gunner, 16, 6, 3, 3, 4, 4, 2, 2, 7, 3, And They Shall Know No Fear | Transhuman Physiology,0
Intercessor Sergeant, 16, 6, 3, 3, 4, 4, 2, 3, 8, 3, And They Shall Know No Fear | Transhuman Physiology,0
Reiver, 16, 6, 3, 3, 4, 4, 2, 2, 7, 3, And They Shall Know No Fear | Transhuman Physiology | Terror Troops,0
Reiver Sergeant, 17, 6, 3, 3, 4, 4, 2, 3, 8, 3, And They Shall Know No Fear | Transhuman Physiology | Terror Troops,0
Scout Marine, 10, 6, 3, 3, 4, 4, 1, 1, 7, 4, And They Shall Know No Fear | Transhuman Physiology,0
Scout Marine Gunner, 11, 6, 3, 3, 4, 4, 1, 1, 7, 4, And They Shall Know No Fear | Transhuman Physiology,0
Scout Sergeant, 11, 6, 3, 3, 4, 4, 1, 2, 8, 4, And They Shall Know No Fear | Transhuman Physiology,0
